ID_Ejercicio	Ejercicio	Imagen	Video
1	Press pierna		
2	Press pecho		
3	Mejor estiramiento del mundo		
4	Press frances		
5	Press mancuerna		
6	Sentadilla SMITH		
7	Media luna en torsion		
8	Gato Vaca		
9	Lundge		
10	Side Lundge		
11	Windchill		
12	Burpees		
13	Sentadilla isometrica		
14	Sentadilla sumo		
15	Abduccion hombro		
16	Abduccion pierna		
17	Aduccion pierna		
18	Flexion rodilla		
19	Extension rodilla		
20	Jalon polea cerrado		
21	Jalon polea abierto		
22	Plancha prono		
23	Plancha supino		
24	Hip Trust		
25	Esfingue		
0	N/A		
